Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,AgeGroup,Barco,Clima,TemperaturaMedia
0.0,1.0,male,42.0,1.0,0.0,52.0,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,3.0,male,28.0,0.0,0.0,7.2292,C,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,21.0,0.0,0.0,8.05,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,18.0,2.0,0.0,18.0,S,Adolescente (13-18),Titanic,Despejado,2.0
1.0,3.0,female,14.0,1.0,0.0,11.2417,C,Adolescente (13-18),Titanic,Despejado,2.0
0.0,3.0,female,40.0,1.0,0.0,9.475,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,2.0,female,27.0,1.0,0.0,21.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,7.8958,C,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,19.0,0.0,0.0,7.8792,Q,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,13.68703081632653,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,1.0,0.0,15.5,Q,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,2.0,0.0,21.6792,C,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,18.0,1.0,0.0,17.8,S,Adolescente (13-18),Titanic,Despejado,2.0
0.0,3.0,male,7.0,4.0,1.0,39.6875,S,Niño (0-12),Titanic,Despejado,2.0
0.0,3.0,male,21.0,0.0,0.0,7.8,S,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,49.0,1.0,0.0,65.64535,C,Adulto (36-60),Titanic,Despejado,2.0
1.0,2.0,female,29.0,1.0,0.0,26.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,54.5,0.0,1.0,61.9792,C,Adulto (36-60),Titanic,Despejado,2.0
1.0,2.0,female,21.0,0.0,0.0,10.5,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.5,0.0,0.0,7.2292,C,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,female,5.0,1.0,2.0,27.75,S,Niño (0-12),Titanic,Despejado,2.0
0.0,3.0,male,11.0,5.0,2.0,46.9,S,Niño (0-12),Titanic,Despejado,2.0
0.0,3.0,male,22.0,0.0,0.0,7.2292,C,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,38.0,0.0,0.0,65.64535,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,1.0,male,45.0,1.0,0.0,65.64535,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,4.0,3.0,2.0,27.9,S,Niño (0-12),Titanic,Despejado,2.0
0.0,1.0,male,28.0,0.0,0.0,27.7208,C,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,male,28.0,1.0,1.0,15.2458,C,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,female,29.0,0.0,0.0,10.5,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,19.0,0.0,0.0,8.1583,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,17.0,4.0,2.0,7.925,S,Adolescente (13-18),Titanic,Despejado,2.0
0.0,3.0,male,26.0,2.0,0.0,8.6625,S,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,32.0,0.0,0.0,10.5,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,16.0,5.0,2.0,46.9,S,Adolescente (13-18),Titanic,Despejado,2.0
0.0,2.0,male,21.0,0.0,0.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,26.0,1.0,0.0,14.4542,C,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,male,32.0,0.0,0.0,56.4958,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,25.0,0.0,0.0,7.65,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,8.05,S,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,male,2.5,0.0,2.0,29.0,S,Niño (0-12),Titanic,Despejado,2.0
1.0,3.0,female,30.0,0.0,0.0,12.475,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,22.0,0.0,0.0,9.0,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,male,29.0,0.0,0.0,9.5,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,28.0,0.0,0.0,7.7875,Q,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,28.0,0.0,0.0,47.1,S,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,female,17.0,0.0,0.0,10.5,S,Adolescente (13-18),Titanic,Despejado,2.0
1.0,3.0,female,33.0,3.0,0.0,15.85,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,16.0,1.0,3.0,34.375,S,Adolescente (13-18),Titanic,Despejado,2.0
1.0,1.0,female,23.0,3.0,2.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,24.0,0.0,0.0,8.05,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,29.0,0.0,0.0,8.05,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,20.0,0.0,0.0,7.8542,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,46.0,1.0,0.0,61.175,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,26.0,1.0,2.0,20.575,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,54.5,0.0,0.0,7.25,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,1.0,male,54.5,0.0,0.0,34.6542,C,Adulto (36-60),Titanic,Despejado,2.0
1.0,1.0,male,23.0,0.0,1.0,63.3583,C,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,female,34.0,0.0,1.0,23.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,34.0,1.0,0.0,26.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,28.0,0.0,0.0,7.8958,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,21.0,0.0,1.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,33.0,0.0,0.0,8.6542,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,37.0,2.0,0.0,7.925,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,3.0,female,21.0,0.0,0.0,7.65,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,male,28.0,0.0,0.0,7.775,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,38.0,0.0,0.0,7.8958,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,3.0,female,28.0,1.0,0.0,24.15,Q,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,47.0,0.0,0.0,52.0,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,female,14.5,1.0,0.0,14.4542,C,Adolescente (13-18),Titanic,Despejado,2.0
0.0,3.0,male,22.0,0.0,0.0,8.05,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,20.0,1.0,0.0,9.825,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,17.0,0.0,0.0,14.4583,C,Adolescente (13-18),Titanic,Despejado,2.0
0.0,3.0,male,21.0,0.0,0.0,7.925,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,54.5,0.0,0.0,7.75,Q,Adulto (36-60),Titanic,Despejado,2.0
0.0,2.0,male,29.0,1.0,0.0,21.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,24.0,0.0,1.0,65.64535,C,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,2.5,4.0,2.0,31.275,S,Niño (0-12),Titanic,Despejado,2.0
0.0,2.0,male,21.0,2.0,0.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,32.5,1.0,0.0,30.0708,C,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,female,32.5,0.0,0.0,13.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,54.0,0.0,1.0,65.64535,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,3.0,male,12.0,1.0,0.0,11.2417,C,Niño (0-12),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,7.75,Q,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,male,24.0,0.0,0.0,7.1417,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,28.0,1.0,1.0,22.3583,C,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,45.0,0.0,0.0,6.975,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,33.0,0.0,0.0,7.8958,C,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,20.0,0.0,0.0,7.05,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,47.0,1.0,0.0,14.5,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,2.0,male,25.0,0.0,0.0,13.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,23.0,0.0,0.0,15.0458,C,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,19.0,0.0,2.0,26.2833,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,37.0,1.0,0.0,53.1,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,16.0,0.0,0.0,9.2167,S,Adolescente (13-18),Titanic,Despejado,2.0
0.0,1.0,male,24.0,0.0,0.0,65.64535,C,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,28.0,0.0,2.0,15.2458,C,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,22.0,0.0,0.0,7.75,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,24.0,1.0,0.0,15.85,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,19.0,0.0,0.0,6.75,Q,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,18.0,0.0,0.0,11.5,S,Adolescente (13-18),Titanic,Despejado,2.0
0.0,2.0,male,19.0,1.0,1.0,36.75,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,male,27.0,0.0,0.0,7.7958,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,9.0,2.0,2.0,34.375,S,Niño (0-12),Titanic,Despejado,2.0
0.0,2.0,male,36.5,0.0,2.0,26.0,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,2.0,male,42.0,0.0,0.0,13.0,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,2.0,male,51.0,0.0,0.0,12.525,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,1.0,female,22.0,1.0,0.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,54.5,0.0,0.0,8.05,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,40.5,0.0,2.0,14.5,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,7.3125,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,51.0,0.0,1.0,61.3792,C,Adulto (36-60),Titanic,Despejado,2.0
1.0,3.0,female,16.0,0.0,0.0,7.7333,Q,Adolescente (13-18),Titanic,Despejado,2.0
0.0,3.0,male,30.0,0.0,0.0,8.05,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,8.6625,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,8.0,2.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,44.0,0.0,1.0,16.1,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,2.0,female,40.0,0.0,0.0,15.75,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,26.0,0.0,0.0,7.775,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,17.0,0.0,0.0,8.6625,S,Adolescente (13-18),Titanic,Despejado,2.0
0.0,3.0,male,2.5,4.0,1.0,39.6875,S,Niño (0-12),Titanic,Despejado,2.0
1.0,3.0,male,9.0,0.0,2.0,20.525,S,Niño (0-12),Titanic,Despejado,2.0
1.0,1.0,female,28.0,0.0,1.0,55.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,45.0,1.0,4.0,27.9,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,1.0,male,28.0,0.0,0.0,25.925,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,56.4958,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,54.5,0.0,0.0,33.5,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,4.0,4.0,1.0,29.125,Q,Niño (0-12),Titanic,Despejado,2.0
1.0,3.0,female,2.5,1.0,1.0,11.1333,S,Niño (0-12),Titanic,Despejado,2.0
0.0,1.0,male,54.5,0.0,0.0,30.6958,C,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,18.0,1.0,1.0,7.8542,S,Adolescente (13-18),Titanic,Despejado,2.0
0.0,3.0,male,28.0,3.0,1.0,25.4667,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,female,50.0,0.0,0.0,28.7125,C,Adulto (36-60),Titanic,Despejado,2.0
0.0,2.0,male,30.0,0.0,0.0,13.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,36.0,0.0,0.0,0.0,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,female,28.0,8.0,2.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,28.0,0.0,0.0,15.05,C,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,9.0,4.0,2.0,31.3875,S,Niño (0-12),Titanic,Despejado,2.0
1.0,2.0,male,2.5,2.0,1.0,39.0,S,Niño (0-12),Titanic,Despejado,2.0
1.0,3.0,female,4.0,0.0,2.0,22.025,S,Niño (0-12),Titanic,Despejado,2.0
0.0,1.0,male,28.0,0.0,0.0,50.0,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,28.0,1.0,0.0,15.5,Q,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,male,45.0,0.0,0.0,26.55,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,40.0,1.0,1.0,15.5,Q,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,36.0,0.0,0.0,7.8958,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,2.0,female,32.0,0.0,0.0,13.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,19.0,0.0,0.0,13.0,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,19.0,1.0,0.0,7.8542,S,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,male,3.0,1.0,1.0,26.0,S,Niño (0-12),Titanic,Despejado,2.0
1.0,1.0,female,44.0,0.0,0.0,27.7208,C,Adulto (36-60),Titanic,Despejado,2.0
1.0,1.0,female,54.5,0.0,0.0,65.64535,C,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,42.0,0.0,1.0,8.4042,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,2.0,female,24.0,0.0,0.0,13.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,9.5,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,34.0,0.0,0.0,6.4958,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,45.5,0.0,0.0,7.225,C,Adulto (36-60),Titanic,Despejado,2.0
1.0,3.0,male,18.0,0.0,0.0,8.05,S,Adolescente (13-18),Titanic,Despejado,2.0
0.0,3.0,female,2.5,0.0,1.0,10.4625,S,Niño (0-12),Titanic,Despejado,2.0
0.0,3.0,male,32.0,1.0,0.0,15.85,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,male,26.0,0.0,0.0,18.7875,C,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,16.0,0.0,0.0,7.75,Q,Adolescente (13-18),Titanic,Despejado,2.0
1.0,1.0,male,40.0,0.0,0.0,31.0,C,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,24.0,0.0,0.0,7.05,S,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,female,35.0,0.0,0.0,21.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,22.0,0.0,0.0,7.25,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,1.0,0.0,7.75,Q,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,31.0,1.0,0.0,65.64535,C,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,27.0,0.0,0.0,7.925,S,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,42.0,1.0,0.0,27.0,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,1.0,female,32.0,0.0,0.0,65.64535,C,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,30.0,0.0,0.0,10.5,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,male,16.0,0.0,0.0,8.05,S,Adolescente (13-18),Titanic,Despejado,2.0
0.0,2.0,male,27.0,0.0,0.0,13.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,51.0,0.0,0.0,8.05,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,1.0,male,38.0,1.0,0.0,65.64535,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,22.0,0.0,0.0,9.35,S,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,male,19.0,0.0,0.0,10.5,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,20.5,0.0,0.0,7.25,S,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,18.0,0.0,0.0,13.0,S,Adolescente (13-18),Titanic,Despejado,2.0
0.0,3.0,female,28.0,3.0,1.0,25.4667,S,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,35.0,1.0,0.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,29.0,0.0,0.0,7.775,S,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,54.5,0.0,0.0,13.5,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,3.0,female,5.0,4.0,2.0,31.3875,S,Niño (0-12),Titanic,Despejado,2.0
0.0,2.0,male,24.0,0.0,0.0,10.5,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,28.0,0.0,0.0,7.55,S,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,44.0,1.0,0.0,26.0,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,2.0,female,8.0,0.0,2.0,26.25,S,Niño (0-12),Titanic,Despejado,2.0
0.0,2.0,male,19.0,0.0,0.0,10.5,S,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,33.0,0.0,0.0,12.275,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,28.0,1.0,0.0,14.4542,C,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,29.0,0.0,0.0,10.5,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,22.0,0.0,0.0,7.125,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,30.0,0.0,0.0,7.225,C,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,44.0,2.0,0.0,65.64535,Q,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,female,25.0,0.0,0.0,7.775,S,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,female,24.0,0.0,2.0,14.5,S,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,male,37.0,1.0,1.0,52.5542,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,2.0,male,54.0,1.0,0.0,26.0,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,7.25,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,29.0,1.0,1.0,10.4625,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,54.5,0.0,0.0,26.55,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,30.0,1.0,0.0,16.1,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,41.0,0.0,2.0,20.2125,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,3.0,female,29.0,0.0,2.0,15.2458,C,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,28.0,0.0,0.0,65.64535,C,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,30.0,0.0,0.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,35.0,0.0,0.0,65.64535,C,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,female,50.0,0.0,1.0,26.0,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,3.0,male,3.0,4.0,2.0,31.3875,S,Niño (0-12),Titanic,Despejado,2.0
0.0,1.0,male,52.0,1.0,1.0,65.64535,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,1.0,male,40.0,0.0,0.0,0.0,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,female,28.0,0.0,0.0,7.75,Q,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,36.0,0.0,0.0,10.5,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,16.0,4.0,1.0,39.6875,S,Adolescente (13-18),Titanic,Despejado,2.0
1.0,3.0,male,25.0,1.0,0.0,7.775,S,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,54.5,0.0,1.0,65.64535,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,1.0,female,35.0,0.0,0.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,28.0,0.0,0.0,31.0,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,male,25.0,0.0,0.0,0.0,S,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,female,41.0,0.0,1.0,19.5,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,1.0,male,37.0,0.0,1.0,29.7,C,Adulto (36-60),Titanic,Despejado,2.0
1.0,1.0,female,54.5,1.0,0.0,65.64535,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,female,45.0,0.0,0.0,7.75,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,2.0,male,28.0,0.0,0.0,0.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,7.0,4.0,1.0,29.125,Q,Niño (0-12),Titanic,Despejado,2.0
1.0,3.0,female,35.0,1.0,1.0,20.25,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,7.8542,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,16.0,0.0,0.0,9.5,S,Adolescente (13-18),Titanic,Despejado,2.0
1.0,3.0,male,19.0,0.0,0.0,8.05,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,28.0,0.0,0.0,26.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,33.0,0.0,0.0,8.6625,C,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,male,30.0,0.0,0.0,9.5,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,22.0,0.0,0.0,7.8958,S,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,male,42.0,0.0,0.0,13.0,S,Adulto (36-60),Titanic,Despejado,2.0
1.0,3.0,female,22.0,0.0,0.0,7.75,Q,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,26.0,0.0,0.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,19.0,1.0,0.0,65.64535,C,Joven (19-35),Titanic,Despejado,2.0
